Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly values

Station:                  St. Gallen
Altitude [m asl]:         776 m
Coordinates:              47° 25.5' N / 9° 23.9' E

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            2.02.2022


Year  Month        Temperature      Precipitation  
1864      1               -6.5                 NA  
1864      2               -1.9                 NA  
1864      3                3.5                 NA  
1864      4                4.2                 NA  
1864      5                9.9                 NA  
1864      6               12.5                 NA  
1864      7               14.7                 NA  
1864      8               14.0                 NA  
1864      9               12.0                 NA  
1864     10                6.5                 NA  
1864     11                1.8                 NA  
1864     12               -4.8                 NA  
1865      1               -0.1                 NA  
1865      2               -3.8                 NA  
1865      3               -3.0                 NA  
1865      4               10.3                 NA  
1865      5               13.6                 NA  
1865      6               13.6                 NA  
1865      7               17.3                 NA  
1865      8               14.0                 NA  
1865      9               14.4                 NA  
1865     10                9.1                 NA  
1865     11                5.2                 NA  
1865     12               -2.8                8.5  
1866      1                1.8               34.3  
1866      2                2.8              104.5  
1866      3                2.2              118.7  
1866      4                7.1              113.0  
1866      5                7.3              107.8  
1866      6               14.7              145.2  
1866      7               14.7              122.3  
1866      8               12.8              299.8  
1866      9               13.3              115.6  
1866     10                7.2               12.7  
1866     11                3.0              141.8  
1866     12                1.9               80.0  
1867      1               -0.9              122.4  
1867      2                4.4               94.3  
1867      3                1.9               98.4  
1867      4                6.6              136.7  
1867      5               10.4              175.2  
1867      6               13.0              182.4  
1867      7               13.4              105.3  
1867      8               15.4              164.5  
1867      9               12.7               90.9  
1867     10                5.7              212.5  
1867     11                0.7               49.0  
1867     12               -3.4              110.2  
1868      1               -3.0               51.1  
1868      2                1.6               14.4  
1868      3                0.7              104.9  
1868      4                4.9              108.3  
1868      5               14.9               28.8  
1868      6               14.1              151.3  
1868      7               15.3              155.3  
1868      8               15.2               69.3  
1868      9               13.7               89.6  
1868     10                8.2              159.9  
1868     11                0.0               55.3  
1868     12                4.6               88.4  
1869      1               -2.0               36.0  
1869      2                4.7               14.2  
1869      3               -1.1               61.2  
1869      4                7.3              121.9  
1869      5               11.9              153.1  
1869      6               10.2              152.6  
1869      7               16.9              156.3  
1869      8               13.0              216.4  
1869      9               13.2               87.6  
1869     10                5.0               94.6  
1869     11                3.5              105.7  
1869     12               -2.0               68.0  
1870      1               -2.7               24.4  
1870      2               -3.9               27.7  
1870      3               -0.3               86.6  
1870      4                5.1               54.8  
1870      5               11.4               46.3  
1870      6               13.5               82.8  
1870      7               16.7              112.4  
1870      8               12.6              167.8  
1870      9               10.2              100.6  
1870     10                7.5              216.8  
1870     11                2.2               87.7  
1870     12               -4.6               92.0  
1871      1               -5.6               61.3  
1871      2                0.6               53.1  
1871      3                2.9               55.7  
1871      4                6.4              157.9  
1871      5                8.3               94.7  
1871      6                9.8              244.4  
1871      7               15.7              145.0  
1871      8               15.0              122.4  
1871      9               13.4               54.7  
1871     10                5.2              123.2  
1871     11               -1.1               89.8  
1871     12               -7.9               20.7  
1872      1               -0.2               46.1  
1872      2                0.2               43.9  
1872      3                3.9               56.0  
1872      4                6.4              118.0  
1872      5                9.4              282.1  
1872      6               12.5              204.2  
1872      7               15.3              110.9  
1872      8               13.2              197.6  
1872      9               12.8               53.3  
1872     10                9.5              117.7  
1872     11                5.5              104.7  
1872     12                2.4               81.2  
1873      1                1.0               14.6  
1873      2               -1.1               27.8  
1873      3                4.8               76.7  
1873      4                4.4              145.8  
1873      5                7.2              225.4  
1873      6               13.2              107.1  
1873      7               17.2              182.9  
1873      8               16.0              182.0  
1873      9               10.9              129.2  
1873     10                8.6              170.0  
1873     11                3.0               58.9  
1873     12               -1.9               45.4  
1874      1               -0.6               15.7  
1874      2               -1.4               27.0  
1874      3                1.5               74.5  
1874      4                7.5              101.9  
1874      5                6.4              194.6  
1874      6               13.8              218.7  
1874      7               17.7              225.7  
1874      8               13.4              160.8  
1874      9               13.4               47.4  
1874     10                7.9               28.2  
1874     11               -0.5              100.4  
1874     12               -2.7               84.3  
1875      1                1.3               98.8  
1875      2               -5.0               30.2  
1875      3               -0.3               66.2  
1875      4                5.8               22.4  
1875      5               11.8              127.1  
1875      6               14.2              240.4  
1875      7               14.2              133.5  
1875      8               16.4               74.2  
1875      9               12.7              175.9  
1875     10                6.3              166.9  
1875     11                2.6              127.0  
1875     12               -4.0               49.4  
1876      1               -3.6               41.6  
1876      2                0.9               67.9  
1876      3                2.8              198.4  
1876      4                5.9              125.1  
1876      5                6.4              189.6  
1876      6               13.2              495.7  
1876      7               16.0              167.4  
1876      8               15.8              124.4  
1876      9               11.2              175.1  
1876     10                9.9               26.8  
1876     11                1.6               87.9  
1876     12                3.2               63.0  
1877      1                2.1               46.1  
1877      2                2.3              131.5  
1877      3                1.1              134.6  
1877      4                5.3              170.2  
1877      5                7.7              156.6  
1877      6               16.0              144.6  
1877      7               14.8              285.8  
1877      8               16.4              179.2  
1877      9                9.6               83.9  
1877     10                5.7               72.4  
1877     11                4.7               75.9  
1877     12               -0.1              110.8  
1878      1               -3.0               84.0  
1878      2               -0.2               23.3  
1878      3                1.1              122.7  
1878      4                6.2               98.6  
1878      5               11.3              167.7  
1878      6               13.0              238.6  
1878      7               14.4              256.7  
1878      8               15.1              169.8  
1878      9               12.1              217.6  
1878     10                8.6              122.0  
1878     11                1.5               76.8  
1878     12               -2.9               84.6  
1879      1               -1.7               47.6  
1879      2                1.0              119.6  
1879      3                2.1               39.9  
1879      4                4.6              153.9  
1879      5                6.6              174.1  
1879      6               13.9              140.4  
1879      7               12.9              161.5  
1879      8               16.8              113.6  
1879      9               12.2              170.5  
1879     10                6.1               81.9  
1879     11               -0.5              128.7  
1879     12               -8.3               38.7  
1880      1               -5.5               19.3  
1880      2                0.7               52.8  
1880      3                4.1               25.9  
1880      4                6.5              110.1  
1880      5                8.2              158.3  
1880      6               12.1              175.6  
1880      7               16.1              118.4  
1880      8               13.9              146.8  
1880      9               12.3              149.3  
1880     10                8.4              287.0  
1880     11                4.0               52.7  
1880     12                4.6               86.1  
1881      1               -4.4               23.3  
1881      2                0.1               49.0  
1881      3                3.4               57.9  
1881      4                4.5              109.1  
1881      5                8.8              150.5  
1881      6               12.8              202.7  
1881      7               17.7              107.4  
1881      8               15.5              227.1  
1881      9               10.6              420.2  
1881     10                4.3               93.7  
1881     11                4.7               21.3  
1881     12               -0.4               20.9  
1882      1               -1.6               25.1  
1882      2               -0.4               27.5  
1882      3                4.3               36.7  
1882      4                5.3              119.3  
1882      5                9.9              147.5  
1882      6               12.1              223.0  
1882      7               13.7              175.8  
1882      8               13.0              108.7  
1882      9               10.5              213.6  
1882     10                8.6              147.0  
1882     11                3.9              138.0  
1882     12                0.7               86.0  
1883      1                0.3               41.3  
1883      2                1.4               35.7  
1883      3               -2.0               48.2  
1883      4                4.5               75.7  
1883      5                9.9              165.2  
1883      6               12.6              194.8  
1883      7               13.9              151.1  
1883      8               14.0               61.3  
1883      9               11.4              119.3  
1883     10                6.3              118.0  
1883     11                3.0               83.1  
1883     12               -1.0               62.7  
1884      1                1.0               47.8  
1884      2                1.2               30.2  
1884      3                3.4               30.7  
1884      4                4.6               57.0  
1884      5               11.0               70.2  
1884      6               10.2              215.4  
1884      7               16.2              185.8  
1884      8               15.3              149.8  
1884      9               11.7               78.9  
1884     10                6.8              116.6  
1884     11                0.8               38.6  
1884     12                0.0               66.6  
1885      1               -5.1               19.3  
1885      2                2.9               52.9  
1885      3                1.5               81.9  
1885      4                7.0               65.6  
1885      5                7.8              214.3  
1885      6               15.0               83.5  
1885      7               15.7              218.6  
1885      8               14.5              137.2  
1885      9               11.2              216.0  
1885     10                6.2              187.5  
1885     11                3.1               57.7  
1885     12               -1.1              118.7  
1886      1               -2.0               43.0  
1886      2               -3.6               33.1  
1886      3                0.1               44.2  
1886      4                7.2              136.3  
1886      5               10.8               83.6  
1886      6               11.6              344.7  
1886      7               15.6              166.8  
1886      8               14.8              296.7  
1886      9               13.8              101.8  
1886     10                8.6              127.8  
1886     11                3.8               61.3  
1886     12                0.3              118.2  
1887      1               -4.5                9.6  
1887      2               -3.0                8.7  
1887      3               -0.7              101.5  
1887      4                5.3               67.8  
1887      5                7.3              263.8  
1887      6               14.4              134.0  
1887      7               17.4              161.6  
1887      8               14.5              145.4  
1887      9               10.3              126.3  
1887     10                3.6               68.8  
1887     11                1.7               52.9  
1887     12               -1.7              103.4  
1888      1               -3.3               35.9  
1888      2               -2.4               75.0  
1888      3                0.9               73.5  
1888      4                3.8              171.5  
1888      5               11.1              107.2  
1888      6               13.9              203.6  
1888      7               12.9              195.3  
1888      8               13.4              179.4  
1888      9               11.8              386.2  
1888     10                4.4              102.3  
1888     11                3.1               57.7  
1888     12               -1.4               11.6  
1889      1               -3.6               15.7  
1889      2               -3.1              107.1  
1889      3               -1.2               67.2  
1889      4                4.4               86.7  
1889      5               12.0              170.1  
1889      6               14.6              316.7  
1889      7               14.4              186.9  
